Alternatif;Nama UMKM;Lokasi;C1 (Biaya Sewa);C2 (Penjualan/hari);C3 (Bahan Baku);C4 (Fasilitas);C5 (Persaingan)
A1;Ayam Barokah;Ciledug;6 Juta;10-15 ekor;Sangat Mudah;Barcode, tempat dukuk, kipas;Sangat Mempengaruhi
A2;Warung Pencuk;Ciledug;7 Juta;5-10 porsi;Cukup Mudah;Kulkas, Barcode, tempat duduk;Ketat
A3;Kedai Daisuki;Ciledug;7 Juta;20 porsi;Sangat Mudah;Kulkas, Barcode, tempat duduk;Cukup Mempengaruhi
A4;Warung Potangpol;Ciledug;3.5 Juta;5 porsi;Sangat Mudah;Kulkas, Barcode, tempat duduk;ketat
A5;Soto & Ayam Penyet;Ciledug;3.5 Juta;10 porsi;Sangat Mudah;Kulkas, Barcode;cukup mengpengaruhi
